index,annotation,tag,source,text,uri,label,date,checken
652,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/51e8ceb0-1624-40bd-a568-c3b7426e5f01,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0003_urn-gvn-EVDO01-IIAV002_IAV001000031-large_03/l_772,Aug. 1944,,,1944-08-01,
1685,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/cb0d061c-f9b2-4eb1-87b6-2e2572ac91e7,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0007_urn-gvn-EVDO01-IIAV002_IAV001000031-large_07/l,Nov. 1944,,,1944-11-01,
607,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/4ca0e63c-5d90-491a-9f52-51991033d55a,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0023_urn-gvn-EVDO01-IIAV002_IAV001000031-large_23/l,1963,,,1905-05-16,
1036,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/806b062c-6886-43b0-b4c6-5be589f040f1,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0023_urn-gvn-EVDO01-IIAV002_IAV001000031-large_23/r_tl_4,1962,,,1905-05-15,
317,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/257fdf9b-eb89-45ea-a84e-7bbb347f6a27,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-IIAV002_IAV001000030-large_02/tr_1_tl_1,1944-1945,,,1944/1945,
1187,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/917b599b-5ee6-47f9-b937-13ca357ebe9b,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-IIAV002_IAV001000030-large_02/tr_1_tl_5,Toby Vos,http://www.wikidata.org/entity/Q65965451,,,
818,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/678ac280-45de-4189-83f3-22755510036c,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0002_urn-gvn-EVDO01-IIAV002_IAV001000030-large_02/tr_1_tl_6,Rozenstraat 56,https://adamlink.nl/geo/address/A60129,,,
1616,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/c1d9e90c-fe07-4d89-aee9-7c07be0353d4,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0003_urn-gvn-EVDO01-IIAV002_IAV001000030-large_03/tr_1_tl_10,Haarlemse,http://www.wikidata.org/entity/Q9920,,,
91,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/0b7c4eb6-2c80-4dfd-adfb-659d6265a026,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0003_urn-gvn-EVDO01-IIAV002_IAV001000030-large_03/tr_1_tl_5,juni 1944,,,1944-06-01,
412,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/315dcf23-ad3a-49f7-879b-59b1d8a8af37,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0003_urn-gvn-EVDO01-IIAV002_IAV001000030-large_03/tr_1_tl_6,Rozenstraat,https://adamlink.nl/geo/street/rozenstraat/3901,,,
422,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/324904ad-0efc-4f6e-ad36-2f394362b534,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0004_urn-gvn-EVDO01-IIAV002_IAV001000030-large_04/tr_1_tl_35,Haarlemse,http://www.wikidata.org/entity/Q9920,,,
1750,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/d3c19ee2-7146-4dfa-898a-37112f020114,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0006_urn-gvn-EVDO01-IIAV002_IAV001000030-large_06/tr_1_tl_3,30 oct 1944,,,1944-10-30,
1205,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/9364378b-1ff4-4cc4-b2c2-302b292392ae,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0006_urn-gvn-EVDO01-IIAV002_IAV001000030-large_06/tr_1_tl_4,Vondelpark,https://adamlink.nl/geo/street/vondelpark/4819,,,
852,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/6b428fe8-cf2a-4eb6-96f7-01e3f37adb10,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0008_urn-gvn-EVDO01-IIAV002_IAV001000030-large_08/l_737,Juli 44,,,1944-07-01,
1079,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/8533848e-41f1-4916-a140-aae6e3290ab7,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0008_urn-gvn-EVDO01-IIAV002_IAV001000030-large_08/l_737,Rozenstraat,https://adamlink.nl/geo/street/rozenstraat/3901,,,
1954,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/eec5a11a-5f1d-4d1c-a9a9-b4585b103cc8,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0008_urn-gvn-EVDO01-IIAV002_IAV001000030-large_08/tr_1_tl_37,October 1944,,,1944-10-01,
1372,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/a62705a7-8bb3-4384-a627-1aa5d2c3c71c,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0009_urn-gvn-EVDO01-IIAV002_IAV001000030-large_09/l,L'été 1944,,,1-6-1944/31-8-1944,
1312,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/a009e236-91d2-4ebe-bc36-f962d79ef86b,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0015_urn-gvn-EVDO01-IIAV002_IAV001000030-large_15/l,October 1944,,,1944-10-01,
1825,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/ddb2dc3c-6e32-4845-992e-41a1b008c2a0,place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0015_urn-gvn-EVDO01-IIAV002_IAV001000030-large_15/l_21,Rozenstraat,https://adamlink.nl/geo/street/rozenstraat/3901,,,
362,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/2a72b4b6-70da-471f-b64a-89fd0a25a428,person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_10,Mozes ,http://www.wikidata.org/entity/Q9077,,,
562,https://id.amsterdamtimemachine.nl/ark:/81741/dataset/diaries/annotations/45efe9dd-0cae-434a-afaa-4dea2c981190,date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0016_urn-gvn-EVDO01-IIAV002_IAV001000030-large_16/tr_1_tl_2,Kerstmis 1944,,,1944-12-25,
