index,annotation,diary,tag,source,text,uri,date,label,description,latitude,longitude,checken
1,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/6507ecc5-65a7-4731-ae95-cf0e251d364e,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_33,Woensdag 5 April. 1944.,1944-04-05,,,,,,
2,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/3b71b654-e4bd-4f7e-a704-2f1f302d5e32,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_110,Juni 1944,1944-06-01,,,,,,
3,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/9943d410-bc3e-4a22-8f9a-585cbcf53493,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_121,Rozenstraat,https://adamlink.nl/geo/street/rozenstraat/3901,,,,,,
4,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/f830d531-5739-45d5-bc85-13886b9dff89,"Dagboek Toby Vos, deel 1",add,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_149,tevens,,,,,,,
5,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/71891b6d-da28-4dda-8f2e-a0d1bae32477,"Dagboek Toby Vos, deel 1",organization,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_254,Wille,,,,,,,
6,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/352e3cd7-3c21-4823-910d-a33d292b7cea,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_389,Pappa,https://archief.amsterdam/indexen/deeds/985333e5-6e80-56a3-e053-b784100ade19?person=985333e5-6e81-56a3-e053-b784100ade19,,,,,,
7,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/3b2d5ca1-afdc-4ff4-9f37-b919fc0c532b,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_510,Roelofhartplein,https://adamlink.nl/geo/street/roelof-hartplein/3856,,,,,,
8,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/9b813d34-b6c0-4a2f-847d-3b93eaf4998a,"Dagboek Toby Vos, deel 1",person,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_577,De trambestuurder,,,,,,,
9,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/9b984cff-24d2-459d-9cff-a2cf6df8341c,"Dagboek Toby Vos, deel 1",place,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_669,Euterpestraat,https://adamlink.nl/geo/street/gerrit-van-der-veenstraat/1497,,,,,,
10,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/200bf15d-d0d7-4c54-b087-5fadb2176b90,"Dagboek Toby Vos, deel 1",date,https://id.amsterdamtimemachine.nl/ark:/81741/amsterdam-diaries/annotations/regions/0001_001/l_270,25-3-'41,,1941-03-25,,,,,
